0,1,2,3,4,5,6,7,8,estado
O,X, ,X,O, ,X, ,O,O vence
O,X,X,O,X,O,X,O,X,X vence
X,O,O,X,X,X,X,O,O,X vence
O,X,X, ,X,O, ,X,O,X vence
 ,O,O,X,X,X,X, ,O,X vence
X,X,X, ,O,O, ,X,O,X vence
 ,X,X,O,O,O,O,X,X,O vence
X,O,O, ,O,X,X,O,X,O vence
 , ,O,X,O, ,O,X,X,O vence
O,X,X, ,O, ,X, ,O,O vence
O,X,O,O,X,X,X,O,X,Empate
X,X,O,X,O, ,O, , ,O vence
 , ,X,O,X,X,O,O,X,X vence
O,X,O,O,X,X,X,X,O,X vence
 , , , , , , , , ,Tem jogo
X,X,O,X,O, ,X,O, ,X vence
 ,O, ,X, ,O, ,X, ,Tem jogo
 , , , , , , , , ,Tem jogo
X,O,O,X,X,O, , ,X,X vence
 , ,X,O,X,O,X, , ,X vence
 , , , ,O,O,X,X,X,X vence
X, , ,O, ,X,O,X,O,Tem jogo
X, , , ,X,X,O,O,O,O vence
X,X,O,X,O, ,O,X,O,O vence
 ,X, , ,X,X,O,O,O,O vence
O,O,X,X,X,X,O,O,X,X vence
X,X,O, ,O, ,O, ,X,O vence
O,O,X, ,X,X,O, , ,Tem jogo
O,X,X,O,X,O,O, ,X,O vence
O,X,X, ,X,X,O,O,O,O vence
O, ,X,X, ,O, ,X, ,Tem jogo
O, ,X,O,X, ,O, ,X,O vence
X,X,X, , , , ,O,O,X vence
 , , , , , , , , ,Tem jogo
 , , ,X,X,X, ,O,O,X vence
O, ,X,O, ,X,X,O,X,X vence
 ,X,O,X,X,O,O,X, ,X vence
 , , , , , , , ,O,Tem jogo
O, , ,O,X,X,O,X, ,O vence
 , , , , , , , , ,Tem jogo
 , , , , , , , , ,Tem jogo
 , , , ,X, , ,O, ,Tem jogo
O,X,X,O,X,X,O, ,O,O vence
 , , , , , , ,O, ,Tem jogo
O, ,X, ,X, ,X, ,O,X vence
X,X,O,O,O,O,X,X, ,O vence
X,O, ,O, ,O,X,X,X,X vence
 , ,O,X,X,X, ,O, ,X vence
 ,O, ,X, , ,O,O,X,Tem jogo
O,X,O,X, ,X, , , ,Tem jogo
O,X,X,O, , ,O, ,X,O vence
 , , , , , , , ,O,Tem jogo
 , ,X,O,O, , ,X, ,Tem jogo
O, ,X, ,X,O,X, , ,X vence
 , ,O, , , , , , ,Tem jogo
 ,O,X,O, ,X, ,X,O,Tem jogo
 ,X,O, ,X, ,O,X, ,X vence
O,X,O,X,X,O,X, ,O,O vence
X,X, ,O,O,O,X,X,O,O vence
O,X,X,O, ,X,O, , ,O vence
O,X,X, ,O,X,X,O,O,O vence
 ,O,O,X,O, ,X,X,X,X vence
O,X,O,X,X,O,X,O,X,Empate
O,X,X, ,X,O,O,X, ,X vence
X, , ,X, ,X,O,O,O,O vence
O,X,O,X,O, ,O,X,X,O vence
X, ,O,X,O,X, ,X,O,Tem jogo
O,X,X, ,O,O,X,X,O,O vence
O, ,X,O,X, ,X,X,O,X vence
X,O,O,X,O,X,O, ,X,O vence
 ,O, ,X,X,X, ,O, ,X vence
 , , , , ,O, , , ,Tem jogo
X, ,O,O,O,X,O,X,X,O vence
X, ,O,X,O,X,O, , ,O vence
O,O,X,X,X,X,X,O,O,X vence
 ,O, , ,O,X,X,O,X,O vence
O,X, , ,O,X, ,X,O,O vence
 ,O,O,O,X,O,X, ,X,Tem jogo
X,X,O, ,X,X,O,O,O,O vence
X, ,O,X,O,O,X, ,X,X vence
 ,X,O,X, ,O,X, ,O,O vence
X, ,O, ,O, , , ,X,Tem jogo
X,O,O,X, ,O,X,X, ,X vence
X, ,X,O, ,X,O,O,X,X vence
O, ,O,X, ,X,O,O,X,Tem jogo
O,O,X, , ,O,X,X,X,X vence
O,X,O,X,X,X,X,O,O,X vence
X, ,O, ,X, ,O, ,X,X vence
X, ,O,X,O,X,O,X,O,O vence
 ,X,O,X,O,X,O,O,X,O vence
O, ,X,O,X,X,O,X,O,O vence
X,O,X,X,O,O,X, , ,X vence
O,X,X,O,X, ,X, ,O,X vence
O, , ,X,O,X,X, ,O,O vence
X,O,O,O,O,X,X,X,X,X vence
 ,X,X, ,X,O,X,O,O,X vence
 , , ,X,X,X,O, ,O,X vence
 , , , ,X,O, ,X, ,Tem jogo
 ,X,O, ,O,X,O,X, ,O vence
O, , , , , , , ,X,Tem jogo
O,O, ,X,O,X,X,X,O,O vence
O,O, ,X, ,O,X,X,X,X vence
X, ,X,O,O,O,O,X,X,O vence
O,X,X,O,O,X,X, ,O,O vence
O,O, ,X,O, ,X,X,X,X vence
 , , , , ,X, , , ,Tem jogo
X,O,O,X, ,X,X,O, ,X vence
X,O, ,X,O,X,O,O,X,O vence
 , , ,X, , ,O, , ,Tem jogo
X,O,O,X,O,X,X,X,O,X vence
X,X,O,O,X, , ,O,O,Tem jogo
O,O, , , , ,X,X,X,X vence
X,X,X, ,O, ,O, , ,X vence
O,X, ,X,O,O,X,X,O,O vence
 , , , , ,X, , , ,Tem jogo
 ,X,X, ,O,X,O,O,X,X vence
O,O, ,X,X,O,O,X, ,Tem jogo
 , ,O, ,X,O,O,X,X,Tem jogo
 , ,O,X, ,O,O,X, ,Tem jogo
X,O,O,X,O,X,O,X, ,O vence
X,X,X,O, ,O,O,X, ,X vence
X, ,O, ,X,O, ,X,O,O vence
O,O,X,X,X, ,X,O, ,X vence
O,O,O,O,X,X, ,X,X,O vence
X,O,X,O, ,X, ,O,X,X vence
 ,X,O, ,O,X,O, ,X,O vence
 , ,O,X,X,O, ,X,O,O vence
 , ,O,X,O,X,X,O,O,Tem jogo
 , , , , , , , , ,Tem jogo
O, ,X,O,X,O,O,X,X,O vence
O, ,X,O,X, ,X, , ,X vence
 , , , , , , , , ,Tem jogo
 , ,X,O,O,O,X, ,X,O vence
X, ,O,O,O,X,X,O,X,Tem jogo
X,O,X,O,O,O,X, ,X,O vence
O, ,X,O,X,X,O, , ,O vence
X,X,X, ,O, ,X,O,O,X vence
O,O,X, ,X, ,X,O,X,X vence
X, , ,X,O, ,X,O, ,X vence
O,X,X,O, ,X,O,X,O,O vence
O,O,O,O,X,X,X,X, ,O vence
 , , , , , , , , ,Tem jogo
 ,O,X,X,X, ,O,X,O,Tem jogo
O,O,X,X,X, ,X, ,O,X vence
X, ,O, ,X,O, ,X, ,Tem jogo
O, ,X,X,O,O,X,X,O,O vence
X,X,O, ,X,O, , ,O,O vence
X,X,O, ,O, ,O,X, ,O vence
 ,O,X, ,O,O,X,X,X,X vence
O,O,O, , ,X, ,X,X,O vence
O,O,O,X, , ,X,X, ,O vence
O,O,X, ,X,O,X,X, ,X vence
 , , , ,O, , , , ,Tem jogo
X,O,O,O, , ,X,X,X,X vence
O,X,X, ,O,X, , ,O,O vence
X,O,X,X,X, ,O,O,O,O vence
 , , , , , , ,X, ,Tem jogo
 ,X,O,X,X,X,O, ,O,X vence
O, , , , ,O,X,X,X,X vence
O,X, ,O, , ,O,X,X,O vence
X, ,O, , , , , , ,Tem jogo
X, ,O,X, ,O,X, , ,X vence
O,O, ,O,X, ,X,X,O,Tem jogo
X, ,X,O,X,X,O,O,O,O vence
O,O,O, , ,X,X,X, ,O vence
O,X,X,O,O,O,X, ,X,O vence
 , , , , , ,O,X, ,Tem jogo
X,X,X, , , ,O,O, ,X vence
 , , , , ,O, , , ,Tem jogo
X, ,X, ,X, ,O,O,O,O vence
O, , ,X, , , , , ,Tem jogo
X, , ,O,X,O, , ,X,X vence
O, ,X,O,X, ,O,X, ,O vence
X,X,O, ,O,O,X,X,O,O vence
X, ,O, ,O,X,O,X, ,O vence
O,O,O,X,X,O,X, ,X,O vence
O,O,O,X, ,X,X,X,O,O vence
 , , , , , , , , ,Tem jogo
O,O,X, , ,X,X,O,X,X vence
O, , ,O,X, ,X,O, ,Tem jogo
O,O,O,X,X, , , ,X,O vence
O,O,X,O, ,X, ,X,X,X vence
X, ,O,X,O,O,X,X, ,X vence
 , , , , , , , , ,Tem jogo
 ,O,X,O,O,X, ,X,X,X vence
O,X,X,O,O,O,X,X, ,O vence
X,O,O,X,O,X, ,O,X,O vence
X, ,X,O,X, ,X,O,O,X vence
 ,O, ,O,O,X,X,X,X,X vence
O,X,X,O,O, ,O,X,X,O vence
X,X,X,O,O, ,O,X, ,X vence
O,X, ,O,X,X,O, , ,O vence
O,O,X,O,X,X,X,O,X,X vence
O,X,O,X,O,X, ,X,O,O vence
O, ,X, , , , , ,O,Tem jogo
X,O, , , ,X,O, , ,Tem jogo
X,X,O,X,X,O,O, ,O,O vence
 ,X,O,X,O,O,O,X,X,O vence
X,X,X,O,O, , ,X,O,X vence
 , ,O,X,X,X,O,X,O,X vence
X,X,O,O,X,X,O,X,O,X vence
O,O, ,X,X,X,X,O, ,X vence
 , , , ,X, , , , ,Tem jogo
 , , , , , , , , ,Tem jogo
O,O, , ,O,X, ,X, ,Tem jogo
X, ,O,X,O,X,X,O, ,X vence
O,X,X,O,X,O, , ,X,Tem jogo
X,O, , ,O,X,X,X,O,Tem jogo
 ,O,X,O, ,X,X,O,X,X vence
 ,X,O, ,X, , , ,O,Tem jogo
X,O, , , , , , , ,Tem jogo
X,X,O,X,O, ,O,O,X,O vence
X,O,X, ,O,X,X,O,O,O vence
O, ,X,O, , ,X, ,O,Tem jogo
X,X,X, , , ,O, ,O,X vence
 , , , ,O, , , , ,Tem jogo
X,X,O, ,O,X,O,X,O,O vence
 ,X,O, ,X, , ,O, ,Tem jogo
 , , , ,X, , , , ,Tem jogo
X,X,O, , , , , , ,Tem jogo
X,X, ,O,O,O,O,X,X,O vence
O,X,X,X,O,O,O,X,X,Empate
 ,X,X,X, , ,O,O,O,O vence
 , ,O,X, , , , ,O,Tem jogo
O, ,X, ,O,X, ,X,O,O vence
X,O,O,X,X,X,O,X,O,X vence
X, , ,X,O,X,X,O,O,X vence
X,X,X,O, , , , ,O,X vence
X,O,O,X, , ,X,X,O,X vence
 ,X, , , , , ,O, ,Tem jogo
O,X, , , , ,X,O,X,Tem jogo
 , , , , , , , ,O,Tem jogo
 , , , ,X, , , , ,Tem jogo
O,X, ,O, , , , ,X,Tem jogo
O, , ,O,O,X,X,X,X,X vence
O,X,O,X,O, ,X,X,O,O vence
O,O,X,X, ,X, ,O,X,X vence
X,X,O,O,O,X,O, ,X,O vence
O, , , , , , , , ,Tem jogo
X,X,O,O,X,X,X,O,O,Empate
 ,X,O, , ,O,X,X,O,O vence
O,X,O,X,X,X,O, , ,X vence
 , , , ,X, , , , ,Tem jogo
X, ,O,X,O, ,O,X, ,O vence
O,X, , ,O,O,X,X,X,X vence
X,O, , ,X, ,O, ,X,X vence
 ,O,X,O,O,X,X,X,O,Tem jogo
O, ,X,O, , ,O,X,X,O vence
 ,O,X,O,X,X,O, ,X,X vence
O,X,X,X, ,X,O,O,O,O vence
X,O, ,X, ,O,X, , ,X vence
O,X,O, ,O,X,X,X,O,O vence
X,X,X,X,O, ,O, ,O,X vence
X,O,O,O,X, ,X, ,X,X vence
 , , ,O, ,X, , , ,Tem jogo
O,X,X, ,X,O,X, ,O,X vence
O,O,X, ,X, ,X,X,O,X vence
 , , , , , , , , ,Tem jogo
X, , ,O,O,O,X, ,X,O vence
O, ,X,O,X,X,X,O, ,X vence
O, ,X, ,X,O,X,O,X,X vence
X,X,O,O, ,O, , , ,Tem jogo
 ,O, ,X,O,X,X,O, ,O vence
 , , ,X, , , , , ,Tem jogo
X,X, ,X,O,X,O,O,O,O vence
X,O, , ,O,X,X,O, ,O vence
 ,X, ,X, , , , ,O,Tem jogo
 ,O, ,O, , ,X,X,X,X vence
X,X, ,O,X,O, ,O,X,X vence
O, ,X,O, ,X, , ,O,Tem jogo
 , ,X, ,O, ,O,X, ,Tem jogo
X,O,X,O,O,X,X,X,O,Empate
 ,O,O,X,O,X,X,O,X,O vence
X,O, ,O,O,X,X,O,X,O vence
X,O,O,O,O,X, ,X,X,Tem jogo
 ,O,X,O,X, ,X, , ,X vence
 , , ,O, , ,O, ,X,Tem jogo
O,O,O,X, ,X,O,X,X,O vence
 , , , ,O, , , , ,Tem jogo
X, , , , , ,O, ,O,Tem jogo
O,O,X,X,O, ,X,X,O,O vence
 , ,X, , , , , , ,Tem jogo
X,X,O,X,O,O, ,X,O,O vence
 ,X,X,X,X,O,O,O,O,O vence
 ,X,X,O,O,O, ,X, ,O vence
X, ,O,O,X,X, ,O,X,X vence
O,O,X,X,O, ,X,O,X,O vence
 ,O,O,X,X,O,X,X,O,O vence
O,O,O,X,O,X,X, ,X,O vence
X,X,X,X,O,O,X,O,O,X vence
O,X,O,O, ,X, ,X,O,Tem jogo
 , , , , , , ,O, ,Tem jogo
X,X, ,O,X, ,O,X,O,X vence
X,X,X,O,O, ,O, ,X,X vence
O,O,X, , ,X, , ,O,Tem jogo
O,O,O,X, ,X,X,O,X,O vence
X,O, ,X, ,O,X,O,X,X vence
 ,O, , , ,O, , ,X,Tem jogo
 , ,O,O,X, , ,X, ,Tem jogo
X,O,O,O,X, ,X,X, ,Tem jogo
O,X, , ,O, ,X,X,O,O vence
 ,X,O,O,X, , ,X, ,X vence
X, ,X, , ,X,O,O,O,O vence
 , ,O,X,O,X,O, ,X,O vence
 ,X, ,O, , , , ,O,Tem jogo
 , ,O, ,X, , ,O, ,Tem jogo
 ,O,X,O, ,O,X,X,X,X vence
X,O, ,X,X,X,O, ,O,X vence
X, , ,X,X, , ,O,O,Tem jogo
X,O, , , , ,O,X, ,Tem jogo
X,X,X, ,O, , , ,O,X vence
 ,X, , , ,X,O, , ,Tem jogo
X, , ,O,X,X,O,X,O,Tem jogo
O,X, ,O,O,X,O,X,X,O vence
 ,X,O,X, ,X,O,O,X,Tem jogo
X, , ,O,O,X, ,X,O,Tem jogo
 ,O,X,X,O,X, ,O, ,O vence
X, ,O,X,X,O, , ,O,O vence
 ,X, ,X, , , ,O, ,Tem jogo
X,X,X,O, ,O, ,O,X,X vence
X,X,O,O,O,X,X,X,O,Empate
 , ,X,O,X, ,X, ,O,X vence
O,X,X,X,O,O,X, ,O,O vence
X,X,O,O,X,O,X, ,O,O vence
 ,O,X, ,O, ,X,O,X,O vence
X, , ,O,X,X,O,O,X,X vence
X,X,O,X, ,O,X,O, ,X vence
 , , ,O, , , , , ,Tem jogo
O, ,X,X,O,X,O,X,O,O vence
O,X,X, ,O, , ,X,O,O vence
 ,X,O,O,X,X,O,O,X,Tem jogo
X,X,X, ,O,X, ,O,O,X vence
O,X,X,X,O,X,O, ,O,O vence
 ,O,O,X,O,X,O,X,X,O vence
O,X,X,X,O,X, ,O,O,O vence
X, ,X,X,X,O,O,O,O,O vence
X,X, ,O,X, ,O,O,X,X vence
O, ,X,X,O, , ,O,X,Tem jogo
O,O, ,X,X,X,X, ,O,X vence
X,O,O, ,X,O, ,X,X,X vence
 ,O,X,X,O, ,O,X, ,Tem jogo
O, , ,O,X,O,X,X,X,X vence
 , ,X,O,O,O,X,X, ,O vence
O, , , , , ,X,X,O,Tem jogo
X, ,X,O,O,O,X,X,O,O vence
X, , ,O,X,O,X,O,O,Tem jogo
O,X,X,O, , ,O,X, ,O vence
 ,X,O, , ,O, , , ,Tem jogo
X,X,O,X,O,X,X,O,O,X vence
O, ,O, ,O,X,X,X,X,X vence
O, ,O,X,O,X, ,X, ,Tem jogo
 ,X,X,O,O,O,X,O,X,O vence
X,X,O,X, ,O,O,X,O,O vence
X,X,O,X,O,X,O,O, ,O vence
O,O,X,O,X,X,X, , ,X vence
X, ,O,X, ,X,O, , ,Tem jogo
X, , ,O,X, , ,O,X,X vence
X,X,O,O,O,X,O,X, ,O vence
O,O,O, ,X, ,X,X, ,O vence
 , , ,O, ,O,X,X,X,X vence
 , , , ,X, ,O, ,X,Tem jogo
X,X,X, ,O,X,O, ,O,X vence
 , ,O,X,X,O,X, ,O,O vence
O,O,X,X,X,X, ,O, ,X vence
X,O,X,O,X,X,O,X,O,Empate
O,O,O, ,X,X,X,O,X,O vence
 ,X,X,O,O,O, , ,X,O vence
O,O,X,X,X,O,O,X,X,Empate
 , ,O,X, , ,O, , ,Tem jogo
X, , , , , , , , ,Tem jogo
 ,X, , ,X,O,O,X, ,X vence
X,O,X,X, ,O,X,O, ,X vence
O,O,X,O, ,X,X,X,O,Tem jogo
O, ,X,X,O,X,X,O,O,O vence
X,X, ,X,O,O,X,O, ,X vence
O,X,X,O,X,O,X,X,O,X vence
X,O, ,X,O,X, ,O, ,O vence
 ,X,O, , ,X,X, ,O,Tem jogo
 , ,X, , , ,O, , ,Tem jogo
O, ,X, , ,X,O,X, ,Tem jogo
 , , ,O,X,O,X, , ,Tem jogo
X, ,O, , , ,O, , ,Tem jogo
X,X, ,X, ,O,O,O,X,Tem jogo
 ,X,O,O,X,O,X,X, ,X vence
 , , , ,O,X, ,X,O,Tem jogo
X,O, ,O,X,X, ,O,X,X vence
O, , ,X,O,O, , ,X,Tem jogo
O, , , , , , , , ,Tem jogo
X, ,O, ,X,X,O,O,X,X vence
X,X,X,X,O,O,O,O,X,X vence
X,X,O,X,X,O,O,O,X,X vence
 ,O, ,X,X, ,O, , ,Tem jogo
X,O,X,X,X,O, ,O,O,Tem jogo
X,O, ,O,X, ,O,X,X,X vence
 , , , , , ,O, , ,Tem jogo
 , , , , , , , , ,Tem jogo
X, ,O,X,O,X,O,O,X,O vence
 , , , , , , , , ,Tem jogo
X,O,X, ,O, ,X,O, ,O vence
X,X,O, ,O,X,O,O,X,O vence
X,O,O, ,X, , , , ,Tem jogo
O, ,X, ,O,X,X, ,O,O vence
X, , , ,X,O,O, ,X,X vence
 ,X,O, ,X,O,X, ,O,O vence
O,X,O,X,O,X,X,O,X,Empate
X,X,O,O,X, ,O, ,X,X vence
X, ,O,X, , ,X,O, ,X vence
 ,X, , ,O, , , , ,Tem jogo
X,O,X, ,O,X, ,O, ,O vence
 ,X,X,O,X,X,O,O,O,O vence
 ,O,X, ,O,X,O,X,X,X vence
X,O,O,X,O, ,O,X,X,O vence
O,X,X,X,X,O,O,X,O,X vence
 , ,O,X,X,X, , ,O,X vence
O,X,X,O,X, , ,X,O,X vence
O,O, , ,O,X,X,X,X,X vence
 , , , , , , ,O, ,Tem jogo
X,O,O, ,X,O,X,X,O,O vence
 ,X, ,X,X, ,O,O,O,O vence
 ,X, ,O,O,O,X, ,X,O vence
O, ,O,O,X,X,O,X,X,O vence
 , , , , , , , ,X,Tem jogo
O,X,O,X,X,X,O,O,X,X vence
 ,O,O, , ,X,X, , ,Tem jogo
X,X,X,X,O, ,O,O, ,X vence
 , ,X,O, ,O, ,X,O,Tem jogo
X,X,X,O,O, , , , ,X vence
 ,O,X,O,O,X,X, ,O,Tem jogo
 , , , , , , , , ,Tem jogo
 ,X,O,X,X,O, , ,O,O vence
X,O,X,X,X,O,O,X,O,Empate
O, , , , ,O,X,X, ,Tem jogo
O,X,O,X, ,X,O, ,X,Tem jogo
 , ,X,X,O,O, , , ,Tem jogo
X,O,X, ,X,O,X, ,O,X vence
 , , , ,O,O,X, , ,Tem jogo
 ,X, ,O,X,O,O,X,X,X vence
 ,O, , , ,X, , , ,Tem jogo
 , , , , , , , ,X,Tem jogo
 , , ,X, ,O,O,O,X,Tem jogo
X,O,O,X,X, ,X, ,O,X vence
X, , ,O,X,O,X,O,X,X vence
 , , , , ,X, , , ,Tem jogo
X, , ,X, ,O,X, ,O,X vence
O,X,X,O,O,O, ,X,X,O vence
O,O,X,O,X, ,O,X,X,O vence
X,O, ,O,X, ,X,O,X,X vence
X, ,O,O,X,X,O, ,X,X vence
X,X,O,X,O, ,X, ,O,X vence
O,O,O,X,O,X, ,X,X,O vence
 , ,X,O,O, , , ,X,Tem jogo
X, ,O,X,O,X,X, ,O,X vence
 ,X, ,O,O, , , , ,Tem jogo
 , ,X, , , , , , ,Tem jogo
 ,O,X,X,X,X, ,O,O,X vence
O,O,X,X,O,X,O,X, ,Tem jogo
O,X,O,O, , ,X,X,X,X vence
 ,X, ,X, ,X,O,O,O,O vence
X,O, , ,O, ,X,O,X,O vence
X, , ,X,X, ,O,O,O,O vence
 , , ,X, , ,X,O,O,Tem jogo
 ,X, , , , , , , ,Tem jogo
 ,O,X,O, ,X, ,X,O,Tem jogo
O,O,X,X,O,X, ,X,O,O vence
O,O,X,O,X,X,O,X, ,O vence
X,O, ,X,O, , ,O,X,O vence
X,O, ,X,O, ,X,X,O,X vence
 ,X, ,O, , ,O,X, ,Tem jogo
X, ,O, , , , ,O, ,Tem jogo
 , , ,X, , , , , ,Tem jogo
X,O,O,X,X,O, ,X,O,O vence
O,X,O,O,X, ,X,X, ,X vence
X,X,X,X, ,O, ,O,O,X vence
 , , , , , , , , ,Tem jogo
X,O,X,O, ,X,O,X, ,Tem jogo
 ,O, ,X, , ,O, ,X,Tem jogo
X,X,O,O,O,O,X, ,X,O vence
X,O,X,X,O,X,O,O, ,O vence
O,O,O, ,X,X, ,X, ,O vence
X,X,X,O,X,O,O, , ,X vence
 , ,X, ,O,X, ,O,X,X vence
 , , , , , , , , ,Tem jogo
X,X,X, , ,O, ,O, ,X vence
 ,X, , , , , , , ,Tem jogo
O,X,O,O,X, , ,X,X,X vence
 , ,X,X,X, ,O,O,O,O vence
X,O, , ,O,X, ,O,X,O vence
 ,O,X,X,O, , ,O,X,O vence
X, ,X,O,X,O,X, ,O,X vence
X,X,O,O,X, ,O,X, ,X vence
X,X,X,O,O,X,O,X,O,X vence
X,O,X,X,O, , ,O, ,O vence
O,X,X,O,X,O, ,X, ,X vence
X,X,O, ,O,O,O,X,X,O vence
O, , ,X, , , , ,O,Tem jogo
X,O,X,X,X,O,O,O,X,X vence
O,X, ,O, ,X,O, ,X,O vence
X,O,X, , ,O, ,O, ,Tem jogo
X, , ,O, ,O, ,O,X,Tem jogo
X,X, ,X, ,O,O,X,O,Tem jogo
O,O,X,X,X,X,O, , ,X vence
 , , , , , ,X, , ,Tem jogo
 ,O,O, , , ,X, ,X,Tem jogo
 ,X, ,O, ,O, ,X, ,Tem jogo
O,X,O, , ,O,X,O,X,Tem jogo
O, ,X,X,O, , ,X,O,O vence
 , , ,X, , , , , ,Tem jogo
O,X,X,X,X,O,O,O,X,Empate
O,X, ,O,X, ,O, ,X,O vence
 , ,O,X,O,X, , , ,Tem jogo
O,O,X,X,O,X,X, ,O,O vence
O,O,O, ,X, ,X, ,X,O vence
X,X,X, , ,O,O, , ,X vence
 ,X, ,O,X,O,X,X,O,X vence
 ,X,O, , , , ,X, ,Tem jogo
O,O,O,X, ,X,X, , ,O vence
 , ,X,O,X,O,X,O,X,X vence
X, , , , ,X, , ,O,Tem jogo
O,X,O,X, ,O,X,X,O,O vence
O,X,X,X,O, ,O,X,O,O vence
 ,O,X,X, , , , , ,Tem jogo
X, ,O,X,O,O,O,X,X,O vence
X,O,X, ,O, , ,O,X,O vence
X,O,X,O,O, ,X,O,X,O vence
O,O,O,X,O,X,X,X, ,O vence
O,O,X, ,O,X,X,X,O,O vence
X,X,X,O, , ,O,O,X,X vence
 , , ,X, ,O, ,X, ,Tem jogo
 , , , , ,O, , , ,Tem jogo
X,X,O,X,O,X,O, ,O,O vence
O,X,X,O,X, ,O,O,X,O vence
X,O,X,X,O,O,O,X,X,Empate
 , , , , , , ,O, ,Tem jogo
 , , , , , , , , ,Tem jogo
O, , ,O,X, ,X, ,X,Tem jogo
 , , , , , , , ,O,Tem jogo
X, , ,O,X,O,O,X, ,Tem jogo
 ,X,O,X,O, ,X,O, ,Tem jogo
 , , , , , , ,X, ,Tem jogo
 , ,X,O,X, ,X,O, ,X vence
 ,X,O, ,X,O, ,X, ,X vence
O, ,O,O,X, ,X,X,X,X vence
 ,O, , , , , , , ,Tem jogo
 ,X,X,O,X, ,X,O,O,X vence
 ,X, , , ,O, , ,O,Tem jogo
 , ,O,X,X,X,O, , ,X vence
 , ,O, , , , , , ,Tem jogo
O, , , ,X, ,O,X, ,Tem jogo
 , , , , , , , ,O,Tem jogo
X,O, , ,X,O,O,X,X,X vence
 , , , ,X,O,X, , ,Tem jogo
X, ,X,O,O,X, ,O,X,X vence
 , , , , ,O, , , ,Tem jogo
X,X, ,X, , ,O,O,O,O vence
